0,61,-1,0,42
1,61,-1,1,40
2,61,-1,2,12
3,61,-1,3,13
4,61,2,2,21
5,61,-1,3,11
6,61,3,3,16
7,61,2,2,30
8,61,2,2,37
9,61,2,2,40
10,61,0,0,60
11,61,1,1,45
12,61,2,2,40
13,61,3,3,34
14,61,1,1,51
15,61,1,1,52
16,61,3,3,39
17,61,1,1,54
18,61,2,2,46
19,61,2,2,51
20,61,-1,4,12
21,61,2,2,56
22,61,3,3,51
23,61,4,4,23
24,61,2,2,52
25,61,3,3,50
26,61,4,4,38
27,61,-1,5,34
28,61,-1,6,19
29,61,1,1,59
30,61,6,6,34
31,61,0,0,60
32,61,4,4,38
33,61,6,6,29
34,61,4,4,50
35,61,4,4,50
36,61,-1,7,24
37,62,1,1,61
38,62,6,6,36
39,62,-1,8,28
40,62,-1,8,20
41,62,2,2,57
42,62,4,4,44
43,62,6,6,35
44,62,-1,9,15
45,62,8,8,27
46,62,3,3,51
47,62,4,4,46
48,62,7,7,34
49,62,-1,10,18
50,62,3,3,58
51,62,1,1,60
52,62,8,8,33
53,62,-1,10,9
54,62,4,4,50
55,62,9,9,23
56,62,10,10,18
57,62,5,5,50
58,62,3,3,55
59,62,5,5,48
60,62,6,6,37
61,62,2,2,60
62,62,-1,11,18
63,62,3,3,58
64,62,4,4,55
65,62,-1,11,17
66,62,3,3,59
67,62,4,4,55
68,62,7,7,36
69,62,8,8,36
70,62,10,10,27
71,62,10,10,26
72,62,6,6,36
73,62,6,6,45
74,62,10,10,29
75,62,6,6,49
76,62,3,3,59
77,62,4,4,53
78,62,4,4,54
79,62,6,6,48
80,62,3,3,59
81,62,5,5,50
82,62,4,4,57
83,62,7,7,47
84,62,8,8,35
85,62,6,6,49
86,62,9,9,35
87,62,5,5,56
88,62,5,5,54
89,62,6,6,55
90,62,-1,12,19
91,62,6,6,52
92,62,8,8,44
93,62,11,11,28
94,62,11,11,27
95,62,6,6,56
96,62,-1,12,22
97,62,9,9,36
98,62,7,7,51
99,62,-1,13,11
100,62,12,12,26
101,62,10,10,33
102,62,3,3,58
103,62,10,10,36
104,62,10,10,34
105,62,4,4,58
106,62,10,10,38
107,62,6,6,53
108,62,9,9,40
109,62,11,11,28
110,62,5,5,57
111,62,9,9,43
112,62,8,8,50
113,62,8,8,51
114,62,9,9,46
115,62,13,13,20
116,62,6,6,56
117,62,11,11,34
118,62,9,9,47
119,62,10,10,35
120,62,11,11,33
121,62,6,6,55
122,62,10,10,46
123,62,-1,14,16
124,62,3,3,57
125,62,-1,15,14
126,62,-1,16,16
127,62,11,11,39
128,62,11,11,45
129,62,12,12,32
130,62,-1,16,13
131,62,3,3,57
132,62,6,6,55
133,62,9,9,49
134,62,5,5,56
135,62,7,7,54
